term_level,term,subsetcount,totalcount,foldenrichment,pval,fdr,comp
NPC_class,4-pyrone derivatives,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Acyl phloroglucinols,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Agarofuran sesquiterpenoids,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Aminoacids,19,162,4.382850241545894,0.9997386010276256,0.9997386010276256,ctrl_vs_sl1.up
NPC_class,Aminosugars,1,14,2.669254658385093,0.9609010486768466,0.9981573598303687,ctrl_vs_sl1.up
NPC_class,Ansa macrolides,1,5,7.473913043478261,0.7257184921269917,0.8812295975827755,ctrl_vs_sl1.up
NPC_class,Anthraquinones and anthrones,2,2,37.369565217391305,0.17107450132578098,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Ascarosides,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Aspidosperma type,2,7,10.677018633540373,0.5449901653523452,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Benzodiazepine alkaloids,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Carboline alkaloids,14,33,15.853754940711463,0.05560380188218122,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Cardenolides,2,2,37.369565217391305,0.17107450132578098,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Cephalosporins,4,7,21.354037267080745,0.14696587708419764,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Ceramides,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Chalcones,3,6,18.684782608695652,0.24505529974602386,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Cholane steroids,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Cinnamic acids and derivatives,7,37,7.069917743830788,0.7776788751454513,0.9037757644028711,ctrl_vs_sl1.up
NPC_class,Cyanogenic glycosides,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Cyclamides,4,9,16.60869565217391,0.23313470644891032,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Cyclic peptides,8,31,9.6437587657784,0.4925799477188221,0.8051787606942283,ctrl_vs_sl1.up
NPC_class,Cyclitols,1,6,6.228260869565217,0.779000835848324,0.9037757644028711,ctrl_vs_sl1.up
NPC_class,Cycloartane triterpenoids,2,3,24.913043478260867,0.24979340768037583,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Dammarane and Protostane triterpenoids,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Depsides and depsidones,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Depsipeptides,9,21,16.01552795031056,0.10880961928729223,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Dimeric phloroglucinols,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Dipeptides,4,16,9.342391304347826,0.5614270262434554,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Erythromycins,1,5,7.473913043478261,0.7257184921269917,0.8812295975827755,ctrl_vs_sl1.up
NPC_class,Fatty acyl glycosides of mono- and disaccharides,1,5,7.473913043478261,0.7257184921269917,0.8812295975827755,ctrl_vs_sl1.up
NPC_class,Flavonols,1,16,2.3355978260869565,0.9746713043049482,0.9981573598303687,ctrl_vs_sl1.up
NPC_class,Furofuranoid lignans,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Glucosinolates,26,56,17.350155279503102,0.004582747041149362,0.3895334984976958,ctrl_vs_sl1.up
NPC_class,Glycerophosphates,2,8,9.342391304347826,0.6054574863506994,0.8436702678657286,ctrl_vs_sl1.up
NPC_class,Glycerophosphocholines,3,6,18.684782608695652,0.24505529974602386,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Glycerophosphoethanolamines,2,5,14.947826086956521,0.406024429798998,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Glycerophosphoglycerols,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Glycosyldiacylglycerols,1,8,4.671195652173913,0.8565729869045436,0.9455675829465742,ctrl_vs_sl1.up
NPC_class,Glycosylmonoacylglycerols,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Halogenated fatty acids,7,53,4.935602953240362,0.9622598898445018,0.9981573598303687,ctrl_vs_sl1.up
NPC_class,Imidazole alkaloids,12,81,5.536231884057971,0.9650523986468177,0.9981573598303687,ctrl_vs_sl1.up
